Pair,Cosine Similarity (Mean),Pearson Correlation (Mean),Normalized Cross-Correlation (Mean),Lag at Max NCC (Y),Lag at Max NCC (Z)
a2c_naturecnn_depth_SnowOnly_positions.csv vs a2c_naturecnn_depth_obstacle_weather_leavesfalling_SnowOnly_positions.csv,0.3982,0.714,0.714,0,0
a2c_naturecnn_depth_SnowOnly_positions.csv vs a2c_naturecnn_depth_obstacle_weather_rainandfog_SnowOnly_positions.csv,0.8631,0.719,0.7435,0,-6
a2c_naturecnn_depth_SnowOnly_positions.csv vs a2c_naturecnn_depth_obstacle_weather_snowonly_SnowOnly_positions.csv,0.6792,0.7323,0.7786,0,-17
a2c_naturecnn_depth_SnowOnly_positions.csv vs ppo_naturecnn_depth_SnowOnly_positions.csv,0.9911,0.9702,0.9702,0,0
a2c_naturecnn_depth_SnowOnly_positions.csv vs ppo_naturecnn_depth_obstacle_weather_leavesfalling_SnowOnly_positions.csv,0.8503,0.6378,0.7835,0,-28
a2c_naturecnn_depth_SnowOnly_positions.csv vs ppo_naturecnn_depth_obstacle_weather_rainandfog_SnowOnly_positions.csv,0.9398,0.8043,0.8606,0,-15
a2c_naturecnn_depth_SnowOnly_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_SnowOnly_positions.csv,0.9362,0.7786,0.8423,0,-14
a2c_naturecnn_depth_obstacle_weather_leavesfalling_SnowOnly_positions.csv vs a2c_naturecnn_depth_obstacle_weather_rainandfog_SnowOnly_positions.csv,0.5997,0.88,0.8866,-2,-2
a2c_naturecnn_depth_obstacle_weather_leavesfalling_SnowOnly_positions.csv vs a2c_naturecnn_depth_obstacle_weather_snowonly_SnowOnly_positions.csv,0.7914,0.8497,0.8497,0,0
a2c_naturecnn_depth_obstacle_weather_leavesfalling_SnowOnly_positions.csv vs ppo_naturecnn_depth_SnowOnly_positions.csv,0.3868,0.6983,0.702,0,4
a2c_naturecnn_depth_obstacle_weather_leavesfalling_SnowOnly_positions.csv vs ppo_naturecnn_depth_obstacle_weather_leavesfalling_SnowOnly_positions.csv,0.404,0.65,0.8217,1,48
a2c_naturecnn_depth_obstacle_weather_leavesfalling_SnowOnly_positions.csv vs ppo_naturecnn_depth_obstacle_weather_rainandfog_SnowOnly_positions.csv,0.4235,0.7676,0.787,0,-16
a2c_naturecnn_depth_obstacle_weather_leavesfalling_SnowOnly_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_SnowOnly_positions.csv,0.3969,0.7464,0.8011,0,-17
a2c_naturecnn_depth_obstacle_weather_rainandfog_SnowOnly_positions.csv vs a2c_naturecnn_depth_obstacle_weather_snowonly_SnowOnly_positions.csv,0.8454,0.8817,0.8879,-1,-3
a2c_naturecnn_depth_obstacle_weather_rainandfog_SnowOnly_positions.csv vs ppo_naturecnn_depth_SnowOnly_positions.csv,0.8775,0.7542,0.7685,0,7
a2c_naturecnn_depth_obstacle_weather_rainandfog_SnowOnly_positions.csv vs ppo_naturecnn_depth_obstacle_weather_leavesfalling_SnowOnly_positions.csv,0.8568,0.7708,0.7895,0,-20
a2c_naturecnn_depth_obstacle_weather_rainandfog_SnowOnly_positions.csv vs ppo_naturecnn_depth_obstacle_weather_rainandfog_SnowOnly_positions.csv,0.9334,0.8853,0.8891,2,-5
a2c_naturecnn_depth_obstacle_weather_rainandfog_SnowOnly_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_SnowOnly_positions.csv,0.9256,0.8743,0.8898,4,-8
a2c_naturecnn_depth_obstacle_weather_snowonly_SnowOnly_positions.csv vs ppo_naturecnn_depth_SnowOnly_positions.csv,0.6992,0.765,0.8397,7,16
a2c_naturecnn_depth_obstacle_weather_snowonly_SnowOnly_positions.csv vs ppo_naturecnn_depth_obstacle_weather_leavesfalling_SnowOnly_positions.csv,0.7909,0.8753,0.8977,6,-10
a2c_naturecnn_depth_obstacle_weather_snowonly_SnowOnly_positions.csv vs ppo_naturecnn_depth_obstacle_weather_rainandfog_SnowOnly_positions.csv,0.7741,0.8867,0.8927,8,0
a2c_naturecnn_depth_obstacle_weather_snowonly_SnowOnly_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_SnowOnly_positions.csv,0.7541,0.8735,0.8816,11,0
ppo_naturecnn_depth_SnowOnly_positions.csv vs ppo_naturecnn_depth_obstacle_weather_leavesfalling_SnowOnly_positions.csv,0.8564,0.6651,0.8274,0,-28
ppo_naturecnn_depth_SnowOnly_positions.csv vs ppo_naturecnn_depth_obstacle_weather_rainandfog_SnowOnly_positions.csv,0.9412,0.8079,0.8732,2,-15
ppo_naturecnn_depth_SnowOnly_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_SnowOnly_positions.csv,0.9418,0.7973,0.8742,3,-15
ppo_naturecnn_depth_obstacle_weather_leavesfalling_SnowOnly_positions.csv vs ppo_naturecnn_depth_obstacle_weather_rainandfog_SnowOnly_positions.csv,0.9077,0.841,0.861,1,9
ppo_naturecnn_depth_obstacle_weather_leavesfalling_SnowOnly_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_SnowOnly_positions.csv,0.9089,0.8459,0.8759,0,10
ppo_naturecnn_depth_obstacle_weather_rainandfog_SnowOnly_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_SnowOnly_positions.csv,0.9898,0.9664,0.9664,0,0
