Model,Scenario,Flight Distance,Holes Reached
a2c_naturecnn_depth,LeavesFalling,9.362,2
a2c_naturecnn_depth,RainandFog,7.218,1
a2c_naturecnn_depth,SnowOnly,7.259,1
a2c_naturecnn_depth,gen,17.467,4
a2c_naturecnn_depth_obstacle_weather_leavesfalling,LeavesFalling,12.843,3
a2c_naturecnn_depth_obstacle_weather_leavesfalling,RainandFog,12.726,3
a2c_naturecnn_depth_obstacle_weather_leavesfalling,SnowOnly,11.872,3
a2c_naturecnn_depth_obstacle_weather_leavesfalling,gen,14.112,3
a2c_naturecnn_depth_obstacle_weather_rainandfog,LeavesFalling,12.582,3
a2c_naturecnn_depth_obstacle_weather_rainandfog,RainandFog,14.006,3
a2c_naturecnn_depth_obstacle_weather_rainandfog,SnowOnly,10.376,2
a2c_naturecnn_depth_obstacle_weather_rainandfog,gen,14.673,4
a2c_naturecnn_depth_obstacle_weather_snowonly,LeavesFalling,13.533,3
a2c_naturecnn_depth_obstacle_weather_snowonly,RainandFog,12.782,3
a2c_naturecnn_depth_obstacle_weather_snowonly,SnowOnly,12.042,3
a2c_naturecnn_depth_obstacle_weather_snowonly,gen,14.631,3
a2c_naturecnn_multi_rgb,LeavesFalling,8.489,2
a2c_naturecnn_multi_rgb,RainandFog,3.468,0
a2c_naturecnn_multi_rgb,SnowOnly,7.236,1
a2c_naturecnn_multi_rgb,gen,9.454,2
a2c_naturecnn_single_rgb,LeavesFalling,6.714,1
a2c_naturecnn_single_rgb,RainandFog,2.256,0
a2c_naturecnn_single_rgb,SnowOnly,7.001,1
a2c_naturecnn_single_rgb,gen,7.780,1
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling,LeavesFalling,10.121,2
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling,RainandFog,2.496,0
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling,SnowOnly,10.246,2
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling,gen,10.613,2
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog,LeavesFalling,4.759,1
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog,RainandFog,2.323,0
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog,SnowOnly,6.122,1
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog,gen,5.452,1
a2c_naturecnn_single_rgb_obstacle_weather_snowonly,LeavesFalling,5.660,1
a2c_naturecnn_single_rgb_obstacle_weather_snowonly,RainandFog,2.175,0
a2c_naturecnn_single_rgb_obstacle_weather_snowonly,SnowOnly,6.183,1
a2c_naturecnn_single_rgb_obstacle_weather_snowonly,gen,6.013,1
ppo_naturecnn_depth,LeavesFalling,8.809,2
ppo_naturecnn_depth,RainandFog,8.207,2
ppo_naturecnn_depth,SnowOnly,7.541,1
ppo_naturecnn_depth,gen,8.741,2
ppo_naturecnn_depth_obstacle_weather_leavesfalling,LeavesFalling,15.837,4
ppo_naturecnn_depth_obstacle_weather_leavesfalling,RainandFog,15.473,4
ppo_naturecnn_depth_obstacle_weather_leavesfalling,SnowOnly,15.597,4
ppo_naturecnn_depth_obstacle_weather_leavesfalling,gen,16.319,4
ppo_naturecnn_depth_obstacle_weather_rainandfog,LeavesFalling,16.707,4
ppo_naturecnn_depth_obstacle_weather_rainandfog,RainandFog,15.708,4
ppo_naturecnn_depth_obstacle_weather_rainandfog,SnowOnly,15.462,4
ppo_naturecnn_depth_obstacle_weather_rainandfog,gen,16.994,4
ppo_naturecnn_depth_obstacle_weather_snowonly,LeavesFalling,14.228,3
ppo_naturecnn_depth_obstacle_weather_snowonly,RainandFog,13.800,3
ppo_naturecnn_depth_obstacle_weather_snowonly,SnowOnly,12.469,3
ppo_naturecnn_depth_obstacle_weather_snowonly,gen,13.898,3
ppo_naturecnn_multi_rgb,LeavesFalling,8.403,2
ppo_naturecnn_multi_rgb,RainandFog,4.966,1
ppo_naturecnn_multi_rgb,SnowOnly,9.428,2
ppo_naturecnn_multi_rgb,gen,9.030,2
ppo_naturecnn_single_rgb,LeavesFalling,7.184,1
ppo_naturecnn_single_rgb,RainandFog,2.094,0
ppo_naturecnn_single_rgb,SnowOnly,6.668,1
ppo_naturecnn_single_rgb,gen,8.216,2
ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling,LeavesFalling,8.507,2
ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling,RainandFog,3.728,0
ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling,SnowOnly,8.994,2
ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling,gen,10.071,2
ppo_naturecnn_single_rgb_obstacle_weather_rainandfog,LeavesFalling,4.542,0
ppo_naturecnn_single_rgb_obstacle_weather_rainandfog,RainandFog,4.937,1
ppo_naturecnn_single_rgb_obstacle_weather_rainandfog,SnowOnly,4.752,0
ppo_naturecnn_single_rgb_obstacle_weather_rainandfog,gen,4.552,0
ppo_naturecnn_single_rgb_obstacle_weather_snowonly,LeavesFalling,6.547,1
ppo_naturecnn_single_rgb_obstacle_weather_snowonly,RainandFog,2.432,0
ppo_naturecnn_single_rgb_obstacle_weather_snowonly,SnowOnly,7.451,1
ppo_naturecnn_single_rgb_obstacle_weather_snowonly,gen,7.712,1
